abantu	a BB ɓ BG aː BB n AG t AK u BC
amabele	a BB m AF a BB ɓ BG eː BB l AE e BB
amabhanqa	a BB m AF a BB b AH aː BB ǃ a BB
amafutha	a BB m AF a BB f BF uː BC tʰ AL a BB
amagcino	a BB m AF a BB ǀʱ iː BB n AG o BC
amahlebezi	a BB m AF a BB ɬ BI e BB ɓ BG eː BB z AJ i BB
amahloni	a BB m AF a BB ɬ BI oː BC n AG i BB
amakha	a BB m AF aː BB kʰ AD a BB
amakhaza	a BB m AF a BB kʰ AD aː BB z AJ a BB
amakhosi	a BB m AF a BB kʰ AD oː BC s AJ i BB
amakhwezikhwezi	a BB m AF a BB kʰ AD w AM e BB z AJ i BB kʰ AD w AM eː BB z AJ i BB
amala	a BB m AF aː BB l AE a BB
amandla	a BB m AF aː BB n AG ɮ BI a BB
amanga	a BB m AF aː BB n AG ɡ AC a BB
amanqamu	a BB m AF a BB ǃ aː BB m AF u BC
amanyala	a BB m AF a BB ɲ AG aː BB l AE a BB
amanzi	a BB m AF aː BB n AG z AJ i BB
amatata	a BB m AF a BB t AK aː BB t AK a BB
amathe	a BB m AF aː BB tʰ AL e BB
ayina	ʔ BA a BB j AB iː BB n AG a BB
bana	ɓ BG aː BB n AG a BB
bayede	ɓ BG a BB j AB eː BB d AK e BB
be	ɓ BG e BB
bona	ɓ BG oː BC n AG a BB
buhlungu	ɓ BG u BC ɬ BI uː BC n AG ɡ AC u BC
c	ǀ
cha	ǀʰ a BB
cishe	ǀ iː BB ʃ AJ e BB
cwala	ǀ w AM aː BB l AE a BB
cwecwa	ǀ w AM eː BB ǀ w AM a BB
cwila	ǀ w AM iː BB l AE a BB
cwilisa	ǀ w AM i BB l AE iː BB s AJ a BB
dabuka	d AK a BB ɓ BG uː BC ɠ BJ a BB
dana	d AK aː BB n AG a BB
dla	ɮ BI a BB
dlala	ɮ BI aː BB l AE a BB
dlwengula	ɮ BI w AM e BB n AG ɡ AC uː BC l AE a BB
duma	d AK uː BC m AF a BB
dwa	d AK w AM a BB
ebula	e BB ɓ BG uː BC l AE a BB
ebuza	e BB ɓ BG uː BC z AJ a BB
eluka	e BB l AE uː BC ɠ BJ a BB
engeza	e BB n AG ɡ AC eː BB z AJ a BB
ethwasa	e BB tʰ AL w AM aː BB s AJ a BB
fa	f BF a BB
funa	f BF uː BC n AG a BB
futhi	f BF uː BC tʰ AL i BB
fuya	f BF uː BC j AB a BB
gaya	ɡ AC aː BB j AB a BB
gcoba	ǀʱ oː BC ɓ BG a BB
gcwalisa	ǀʱ w AM a BB l AE iː BB s AJ a BB
gqagqa	ǃʱ aː BB ǃʱ a BB
